"chr","start","end","gc","map","htertrt","gc_bin"
"1",8000001,8500000,0.462702,0.998576,"early",0.46
"1",8500001,9e+06,0.42601,0.997957,"early",0.43
"1",14000001,14500000,0.4314,0.996742,"mid",0.43
"1",14500001,1.5e+07,0.431124,0.996247,"early",0.43
"1",16500001,1.7e+07,0.479312,0.985594,"early",0.48
"1",31500001,3.2e+07,0.46007,0.998933,"early",0.46
"1",35000001,35500000,0.452928,0.988414,"mid",0.45
"1",35500001,3.6e+07,0.413266,0.997992,"early",0.41
"1",39500001,4e+07,0.439456,0.998169,"mid",0.44
"1",40500001,4.1e+07,0.424226,0.991994,"early",0.42
"1",44500001,4.5e+07,0.448976,0.999575,"early",0.45
"1",46000001,46500000,0.42514,0.992621,"early",0.43
"1",50000001,50500000,0.371538,0.98492,"mid",0.37
"1",51000001,51500000,0.382956,0.994276,"early",0.38
"1",53000001,53500000,0.431396,0.997921,"early",0.43
"1",54000001,54500000,0.459268,0.999284,"mid",0.46
"1",56500001,5.7e+07,0.40812,0.990909,"mid",0.41
"1",57000001,57500000,0.402878,0.998922,"late",0.4
"1",59000001,59500000,0.422352,0.99495,"mid",0.42
"1",59500001,6e+07,0.407466,0.994132,"mid",0.41
"1",60500001,6.1e+07,0.37483,0.988528,"early",0.37
"1",61500001,6.2e+07,0.395642,0.999885,"early",0.4
"1",62500001,6.3e+07,0.430326,0.999605,"mid",0.43
"1",63000001,63500000,0.385316,0.995687,"early",0.39
"1",63500001,6.4e+07,0.392878,0.992088,"mid",0.39
"1",65000001,65500000,0.4055,0.998483,"mid",0.41
"1",65500001,6.6e+07,0.409854,0.994359,"mid",0.41
"1",66500001,6.7e+07,0.383796,0.992125,"early",0.38
"1",67000001,67500000,0.372432,0.994586,"early",0.37
"1",68000001,68500000,0.412032,0.996549,"early",0.41
"1",68500001,6.9e+07,0.396932,0.998536,"early",0.4
"1",69000001,69500000,0.373348,0.983537,"early",0.37
"1",71500001,7.2e+07,0.368094,0.986446,"late",0.37
"1",73500001,7.4e+07,0.349042,0.995547,"late",0.35
"1",74000001,74500000,0.357042,0.999693,"late",0.36
"1",74500001,7.5e+07,0.356602,0.98954,"late",0.36
"1",75000001,75500000,0.37175,0.995147,"late",0.37
"1",75500001,7.6e+07,0.374126,0.985104,"late",0.37
"1",76000001,76500000,0.380542,0.991098,"late",0.38
"1",76500001,7.7e+07,0.389622,0.996921,"mid",0.39
"1",77000001,77500000,0.386936,0.991008,"mid",0.39
"1",78500001,7.9e+07,0.384694,0.992357,"early",0.38
"1",79000001,79500000,0.360244,0.990576,"early",0.36
"1",80000001,80500000,0.355616,0.993634,"mid",0.36
"1",80500001,8.1e+07,0.35124,0.992152,"mid",0.35
"1",81500001,8.2e+07,0.368816,0.99803,"late",0.37
"1",82500001,8.3e+07,0.371044,0.988183,"late",0.37
"1",84500001,8.5e+07,0.374536,0.98507,"early",0.37
"1",85500001,8.6e+07,0.395116,0.996336,"early",0.4
"1",87000001,87500000,0.38553,0.984248,"mid",0.39
"1",87500001,8.8e+07,0.403886,0.999267,"mid",0.4
"1",89500001,9e+07,0.390624,0.990267,"mid",0.39
"1",91000001,91500000,0.38992,0.997677,"mid",0.39
"1",92000001,92500000,0.421956,0.997822,"mid",0.42
"1",92500001,9.3e+07,0.394204,0.996067,"early",0.39
"1",93000001,93500000,0.393194,0.99519,"early",0.39
"1",93500001,9.4e+07,0.384482,0.993513,"early",0.38
"1",94000001,94500000,0.432008,0.990933,"early",0.43
"1",95000001,95500000,0.425272,0.999509,"early",0.43
"1",96000001,96500000,0.369776,0.99986,"early",0.37
"1",96500001,9.7e+07,0.374178,0.986689,"early",0.37
"1",97000001,97500000,0.37358,0.991894,"mid",0.37
"1",97500001,9.8e+07,0.359166,0.991743,"mid",0.36
"1",99000001,99500000,0.36724,0.994427,"mid",0.37
"1",99500001,1e+08,0.370984,0.989693,"mid",0.37
"1",100500001,1.01e+08,0.386066,0.998394,"mid",0.39
"1",101000001,101500000,0.377296,0.994636,"mid",0.38
"1",101500001,1.02e+08,0.388618,0.999218,"mid",0.39
"1",103000001,103500000,0.346954,0.992409,"mid",0.35
"1",104500001,1.05e+08,0.351878,0.994056,"late",0.35
"1",107000001,107500000,0.358956,0.999288,"mid",0.36
"1",108000001,108500000,0.382384,0.99672,"early",0.38
"1",111000001,111500000,0.424064,0.996094,"mid",0.42
"1",111500001,1.12e+08,0.400724,0.994024,"early",0.4
"1",118000001,118500000,0.40558,0.997968,"mid",0.41
